Region,MedialTemporal,RightParietalTemporal,LeftParietalTemporal,Precuneus,Occipital,LateralFrontal,Sensorimotor,Orbitofrontal
rh_inferiorparietal,3.71522333353774e-17,0.0954694335696888,3.93628531588574e-17,0.0664213268677952,9.56901827485044e-11,3.04772009766612e-17,3.16924148242712e-17,2.79416022805089e-17
rh_inferiortemporal,0.0286999144999428,0.169944836952403,3.93628531588574e-17,3.4810435974743e-17,3.67508471034948e-17,3.04772009766612e-17,3.16924148242712e-17,2.79416022805089e-17
rh_insula,0.0142927783760121,4.40004184954833e-17,3.93628531588574e-17,3.4810435974743e-17,3.67508471034948e-17,3.04772009766612e-17,0.00179934395942684,0.0688542595797331
rh_isthmuscingulate,0.017596655760223,1.61724598661122e-06,3.93628531588574e-17,0.101590959628254,3.67508471034948e-17,7.23038154344882e-08,3.16924148242712e-17,0.00283011277363034
rh_lateraloccipital,3.71522333353774e-17,0.000559102725229324,3.93628531588574e-17,3.4810435974743e-17,0.143473577725779,3.04772009766612e-17,3.16924148242712e-17,2.79416022805089e-17
rh_lateralorbitofrontal,0.000108065795332537,0.0106964913728648,3.93628531588574e-17,3.4810435974743e-17,3.67508471034948e-17,4.1481398436612e-06,1.39621720440802e-14,0.0808146638766577
rh_lingual,0.00333191340790772,4.40004184954833e-17,3.93628531588574e-17,3.4810435974743e-17,0.115308344674982,3.04772009766612e-17,0.00287353416429688,0.00556035016962539
rh_medialorbitofrontal,1.79043165407581e-05,4.40004184954833e-17,3.93628531588574e-17,3.4810435974743e-17,3.67508471034948e-17,3.04772009766612e-17,3.16924148242712e-17,0.0793563002420371
rh_middletemporal,0.000713197155054924,0.199068630003671,3.93628531588574e-17,3.4810435974743e-17,3.67508471034948e-17,3.04772009766612e-17,3.16924148242712e-17,2.79416022805089e-17
rh_paracentral,3.71522333353774e-17,4.40004184954833e-17,3.93628531588574e-17,3.4810435974743e-17,3.67508471034948e-17,3.04772009766612e-17,0.0998903922470157,6.431582749581e-08
rh_parahippocampal,0.108584573830266,0.0143436182854646,3.93628531588574e-17,8.39580759470929e-10,0.000490919527372669,3.04772009766612e-17,4.17955336090625e-06,0.00872919716448372
rh_parsopercularis,3.71522333353774e-17,0.0303075979201208,3.93628531588574e-17,2.22781472522786e-09,1.6753620048558e-09,0.0623499035585484,0.0101187086554331,0.00560475229556226
rh_parsorbitalis,3.71522333353774e-17,4.9833626002438e-13,3.93628531588574e-17,3.4810435974743e-17,3.67508471034948e-17,0.0676668426642542,8.35971259840501e-10,0.025203067331231
rh_parstriangularis,3.71522333353774e-17,4.02813766082764e-14,3.93628531588574e-17,3.4810435974743e-17,2.50496209932658e-08,0.069287937516803,0.0196038978718099,0.00717887510601799
rh_pericalcarine,3.71522333353774e-17,4.40004184954833e-17,3.93628531588574e-17,3.4810435974743e-17,0.0716220056406326,3.04772009766612e-17,0.0495314076180258,1.64500079843863e-09
rh_postcentral,3.71522333353774e-17,4.40004184954833e-17,3.93628531588574e-17,3.4810435974743e-17,6.00407833202358e-07,3.04772009766612e-17,0.0946577839758452,5.64460817699428e-14
rh_posteriorcingulate,3.71522333353774e-17,8.05358640652506e-05,3.93628531588574e-17,0.0679119476701153,3.67508471034948e-17,8.25277640637372e-06,5.20677992668754e-10,0.035056994978227
rh_precentral,3.71522333353774e-17,4.04630279322286e-12,3.93628531588574e-17,3.4810435974743e-17,0.000463089903543821,0.00147818804583485,0.0956235257729476,6.39000048913984e-09
rh_precuneus,3.71522333353774e-17,4.98066469712814e-09,3.93628531588574e-17,0.11647980099206,0.00905866174742838,3.04772009766612e-17,3.16924148242712e-17,2.79416022805089e-17
rh_rostralanteriorcingulate,3.71522333353774e-17,4.40004184954833e-17,3.93628531588574e-17,3.4810435974743e-17,3.67508471034948e-17,3.04772009766612e-17,4.12340793925244e-14,0.0745812377913427
rh_rostralmiddlefrontal,3.71522333353774e-17,0.0016505533136802,3.93628531588574e-17,8.75216339180005e-06,3.67508471034948e-17,0.0941070713086325,3.16924148242712e-17,2.79416022805089e-17
rh_superiorfrontal,3.71522333353774e-17,0.012973026243963,3.93628531588574e-17,5.99819631787644e-06,8.85152998711754e-12,0.0561024601383201,0.000152952846583149,0.0200892610696935
rh_superiorparietal,3.71522333353774e-17,4.26106322020615e-05,3.93628531588574e-17,0.0515825624665513,0.0715759364762484,3.04772009766612e-17,3.16924148242712e-17,2.79416022805089e-17
rh_superiortemporal,0.000269591606988974,0.0765421252208223,3.93628531588574e-17,3.4810435974743e-17,3.67508471034948e-17,3.04772009766612e-17,0.0241752211512007,0.0256153917143524
rh_supramarginal,3.71522333353774e-17,0.0617880088087029,3.93628531588574e-17,0.0503326806395963,0.00373024885367849,0.00268951964295908,0.018467140595559,1.90720259381591e-10
rh_temporalpole,0.111719680254719,4.40004184954833e-17,3.93628531588574e-17,3.4810435974743e-17,3.67508471034948e-17,3.04772009766612e-17,4.01352379487909e-16,0.0121276946853995
rh_transversetemporal,3.71522333353774e-17,4.40004184954833e-17,3.93628531588574e-17,3.4810435974743e-17,3.56434517007195e-13,3.04772009766612e-17,0.0711371657150688,0.017883088663767
